scene_start,scene_end,audio_energy,motion_activity,speech_detected,score
2072.3333333333335,2073.9333333333334,1256,108105,True,2512.0
2073.9333333333334,2078.4666666666667,2087,168749,True,4174.0
2078.4666666666667,2080.866666666667,1637,148666,True,3274.0
2080.866666666667,2082.8,1291,152706,True,2582.0
2082.8,2087.6,990,614393,True,1980.0
2087.6,2094.733333333333,1542,547435,True,3084.0
2094.733333333333,2095.3333333333335,679,99485,True,1358.0
2095.3333333333335,2096.0,749,63350,True,1498.0
2096.0,2098.6,659,259653,True,1318.0
2098.6,2099.2666666666664,695,97959,True,1390.0
2099.2666666666664,2104.2,1259,407568,True,2518.0
2104.2,2104.733333333333,996,202496,True,1992.0
2104.733333333333,2106.4666666666667,771,382576,True,1542.0
2106.4666666666667,2107.6,733,85988,True,1466.0
2107.6,2109.0,1120,135343,True,2240.0
2109.0,2110.6,687,257507,True,1374.0
2110.6,2111.733333333333,827,174128,True,1654.0
2111.733333333333,2118.0,620,535211,True,1240.0
2118.0,2118.9333333333334,361,150130,True,722.0
2118.9333333333334,2123.0666666666666,522,819279,True,1044.0
2123.0666666666666,2124.0666666666666,1281,278307,True,2562.0
2124.0666666666666,2126.3333333333335,1043,376344,True,2086.0
2126.3333333333335,2133.0,679,514817,True,1358.0
2133.0,2136.2,335,297560,True,670.0
2136.2,2138.6666666666665,303,250799,True,606.0
2138.6666666666665,2141.6,560,285851,True,1120.0
2141.6,2145.9333333333334,378,446351,False,756.0
2145.9333333333334,2147.733333333333,364,249155,True,728.0
2147.733333333333,2151.6666666666665,399,326669,True,798.0
2151.6666666666665,2152.866666666667,393,168860,True,786.0
2152.866666666667,2158.4,1321,417922,True,2642.0
2158.4,2162.4,1829,354753,True,3658.0
2162.4,2165.6,1106,356052,True,2212.0
2165.6,2176.2666666666664,883,838186,True,1766.0
2176.2666666666664,2177.0,1141,148479,True,2282.0
2177.0,2178.6,339,127537,True,678.0
2178.6,2181.3333333333335,412,223644,True,824.0
2181.3333333333335,2185.6666666666665,338,448120,True,676.0
2185.6666666666665,2186.4666666666667,370,103987,True,740.0
2186.4666666666667,2188.0666666666666,460,275307,True,920.0
2188.0666666666666,2190.133333333333,434,191520,True,868.0
2190.133333333333,2198.0,411,530157,True,822.0
2198.0,2200.133333333333,644,379879,True,1288.0
2200.133333333333,2206.4666666666667,541,929801,True,1082.0
